Title                       Countries Points     Position
Alejandro Galan             ESP           13400            1
Juan Lebron                 ESP           13400            1
Martin Di Nenno             ARG            9775            3
Fernando Belasteguin        ARG            9060            4
Arturo Coello               ESP            8610            5
Franco Stupaczuk            ARG            8470            6
Francisco Navarro           ESP            7730            7
Federico Chingotto          ARG            6370            8
Pablo Lima                  BRA            6090            9
Carlos Daniel Gutierrez     ARG            5870           10
Juan Tello                  ARG            5870           10
Agustin Tapia               ARG            5330           12
Alejandro Ruiz              ESP            5175           13
Jeronimo Gonzalez           ESP            4700           14
Luciano Capra               ARG            3093           15
Maximiliano Sanchez         ARG            3093           15
Javier Garrido              ESP            2963           17
Jorge Nieto                 ESP            2680           18
Victor Ruiz                 ESP            2620           19
Lucas Campagnolo            BRA            2345           20
Lucas Bergamini             BRA            2340           21
Francisco Manuel Gil        ESP            2088           22
Ramiro Moyano               ARG            2030           23
Agustin Gomez Silingo       ARG            1957           24
Jon Sanz                    ESP            1957           24
Gonzalo Rubio               ESP            1900           26
Alejandro Arroyo            ESP            1845           27
Miguel Yanguas              ESP            1753           28
Juan Cruz Belluati          ARG            1660           29
Javier Rico                 ESP            1553           30
Agustin Gutierrez           ARG            1510           31
Javier Ruiz                 ESP            1430           32
Ivan Ramirez                ESP            1354           33
Javier Leal                 ESP            1238           34
Antonio Fernandez           ESP            1208           35
Jose Antonio Diestro        ESP            1205           36
Raul Marcos                 ESP            1149           37
Pablo Lijo                  ESP            1138           38
Jose Rico                   ESP            1100           39
Javier Garcia               ESP            1046           40
Ignacio Vilari̱o Gestoso   ESP            1025           41
Denis Tomas Perino          ITA            1015           42
Jorge Ruiz                  ESP            1014           43
Alvaro Cepero               ESP              976          44
Miguel Semmler              ESP              961          45
Jose David Sanchez          ESP              948          46
Miguel Lamperti             ARG              905          47
Daniel Windahl              SWE              886          48
Eduardo Alonso              ESP              885          49
Ignacio Sager                    ESP   868   50
Jesus Moya                       ESP   816   51
Marc Quilez                      ESP   809   52
Toni Bueno                       ESP   809   52
Mario Del Castillo               ESP   806   54
Sergio Alba                      ESP   799   55
Cristian German Gutierrez        ARG   797   56
Javier Barahona                  ESP   795   57
Juanlu Esbri                     ESP   783   58
Benjamin Tison                   FRA   778   59
Enrique Goenaga                  ESP   774   60
Javier Valdes                    CHI   772   61
Diego Gil                        ESP   763   62
Jaime Munoz                      ESP   756   63
Teodoro Zapata                   ESP   752   64
Mario Ortega                     ESP   744   65
Victor Mena                      ESP   703   66
Anton Sans                       ESP   700   67
Antonio Luque                    ESP   693   68
Francisco Miguel Ramirez Navas   ESP   682   69
Arnau Ayats                      ESP   678   70
Jairo Bautista                   ESP   674   71
Nicolas Suescun                  ITA   661   72
Miguel Angel Solbes              ESP   650   73
Miguel Benitez Lara              ESP   648   74
Ruben Rivera                     ESP   644   75
Salvador Oria                    ESP   641   76
̥lvaro Melendez Amaya           ESP   638   77
Facundo Dominguez                ITA   633   78
Pedro Vera                       ESP   631   79
Rafael Mendez                    ESP   624   80
Jeremy Scatena                   FRA   620   81
Aitor Garcia                     ESP   614   82
Adria Mercadal                   ESP   606   83
Jose Carlos Gaspar               ESP   597   84
Francisco Gomes                  BRA   583   85
Carlos Marti                     ESP   568   86
Jose Luis Gonzalez               ESP   544   87
Aris Patiniotis                  ITA   543   88
Federico Mouri̱o                ARG   541   89
Aday Santana                     ESP   521   90
Jaime Fermosell Delgado          ESP   520   91
Emiliano Martin Iriart           ITA   516   92
Inigo Jofre                      ESP   511   93
Carlos Perez Cabeza              ESP   506   94
Miguel Gonzalez                  ESP   500   95
Pablo Cardona                    ESP   492   96
Sergio Icardo                    ESP   491   97
Marcos Cordoba                   ESP   485   98
Ricardo Martinez                 ESP   481   99
Juan Martin Diaz Martinez     ESP   456   100
Jose Solano Marmolejo         ESP   448   101
Thomas Leygue                 FRA   447   102
Mario Huete Hernandez         ESP   440   103
Javier Martinez               ESP   429   104
Jaime Menendez                ESP   426   105
Pedro Melendez Amaya          ESP   408   106
Marco Cassetta                ITA   407   107
Cayetano Rocafort Lores       ESP   404   108
Jose Maria Mouliaa            ESP   403   109
Maxime Moreau                 FRA   398   110
Pablo Garcia Rodrigo          ESP   392   111
Jose Jimenez Casas            ESP   390   112
Simon Vasquez                 SWE   389   113
Cristobal Garcia Blanco       ESP   388   114
Riccardo Sinicropi            ITA   381   115
Simone Cremona                ITA   379   116
Francisco Guerrero            ESP   369   117
Martin Sanchez Pi̱eiro       ESP   368   118
Matias Diaz Sangiorgio        ESP   368   118
Adrian Ronco Lopez            ESP   363   120
Christian Fuster              ESP   356   121
Jose Roman Martinez Sanchis   ESP   351   122
Ignacio Piotto Albornoz       ARG   350   123
Daniele Cattaneo              ITA   340   124
Luis Pozo Carballo            ESP   339   125
Emilio Sanchez Chamero        ESP   333   126
Alonso Rodriguez Martinez     ESP   330   127
David Fernandez Fernandez     ESP   329   128
Luis Hernandez Quesada        ESP   328   129
Lorenzo Di Giovanni           ITA   326   130
Javier Navarro Perez          ESP   323   131
Alvaro Montiel Caruso         ESP   310   132
I̱igo Zaratiegui Pedrosa     ESP   303   133
Mauro Agustin Salandro        ITA   292   134
Matias Nicoletti              ITA   291   135
Belar Vera Lopez              ESP   266   136
Johan Bergeron                FRA   262   137
Juan Manuel Restivo           ITA   240   138
Roger Aromi Siquier           ESP   240   138
Sergi Nogueras Lorenzo        ESP   235   140
Uri Botello Cohen                   228   141
Christian Medina Murphy       GBR   227   142
Jerome Inzerillo              FRA   226   143
Javier Rodriguez Marquez      ESP   219   144
Bastien Blanque               FRA   217   145
Gonzalo Perez Arbona          ESP   206   146
Clement Geens                 BEL   204   147
Victor Tur Checa              ESP   202   148
Amilcar Gaston Bejarano       ARG   198   149
Candido Jorge Alfaro                    ESP   198   149
Ernesto Moreno Carrasco                 ESP   198   149
Manuel Rocafort Lores                   ESP   194   152
Maxime Deloyer                          BEL   191   153
Mohammed Saadon Alkuwari                QAT   188   154
Pepe Aliaga                             ESP   185   155
Valentino Acosta Kremnitzer             ARG   183   156
Relis Ferreyra                          ARG   181   157
Adrian Marques Berdonce                 ESP   179   158
Daniel Bressel Ambrossi                 ESP   178   159
Luis Ortega Perez                       ESP   175   160
Oscar Matias Almada                     ARG   175   160
Adrien Maigret                          FRA   170   162
Pedro Araujo                            POR   170   162
Carl Knutsson                           SWE   169   164
Jerome Peeters                          BEL   158   165
Ivo Andenmatten Gudi̱o                 ARG   155   166
Pablo Castillo Valverde                 ESP   151   167
Marcelo Capitani                        ITA   150   168
Pablo Acevedo Iturribarria              MEX   147   169
Alvaro Sola Sala                        ESP   146   170
